Ortholog	Absences
31	282
18	274
15	232
20	117
16	54
5	51
30	16
10	10
28	9
26	8
32	5
39	4
3	3
4	3
7	3
17	3
46	2
44	2
1	2
13	2
25	1
21	1
40	1
41	1
36	1
35	1
Genome	Absences
GCA_002085265.1_ASM208526v1_genomic_prot.fas_orthologs.txt	9
GCA_003513845.1_ASM351384v1_genomic_prot.fas_orthologs.txt	8
GCA_002238705.1_ASM223870v1_genomic_prot.fas_orthologs.txt	8
GCA_000402295.1_ASM40229v1_genomic_prot.fas_orthologs.txt	8
GCA_002699105.1_ASM269910v1_genomic_prot.fas_orthologs.txt	7
GCA_002789615.1_ASM278961v1_genomic_prot.fas_orthologs.txt	7
GCA_000995065.1_ASM99506v1_genomic_prot.fas_orthologs.txt	7
GCA_002085025.1_ASM208502v1_genomic_prot.fas_orthologs.txt	7
GCA_001818315.1_ASM181831v1_genomic_prot.fas_orthologs.txt	7
GCA_002084955.1_ASM208495v1_genomic_prot.fas_orthologs.txt	7
GCA_002441095.1_ASM244109v1_genomic_prot.fas_orthologs.txt	6
GCA_002778805.1_ASM277880v1_genomic_prot.fas_orthologs.txt	6
GCA_003452935.1_ASM345293v1_genomic_prot.fas_orthologs.txt	6
GCA_001029735.1_ASM102973v1_genomic_prot.fas_orthologs.txt	6
GCA_001774835.1_ASM177483v1_genomic_prot.fas_orthologs.txt	6
GCA_003485015.1_ASM348501v1_genomic_prot.fas_orthologs.txt	6
GCA_001772695.1_ASM177269v1_genomic_prot.fas_orthologs.txt	6
GCA_001803315.1_ASM180331v1_genomic_prot.fas_orthologs.txt	6
GCA_001777695.1_ASM177769v1_genomic_prot.fas_orthologs.txt	6
GCA_002785465.1_ASM278546v1_genomic_prot.fas_orthologs.txt	6
GCA_002366995.1_ASM236699v1_genomic_prot.fas_orthologs.txt	6
GCA_001778375.1_ASM177837v1_genomic_prot.fas_orthologs.txt	6
GCA_001804315.1_ASM180431v1_genomic_prot.fas_orthologs.txt	6
GCA_002779715.1_ASM277971v1_genomic_prot.fas_orthologs.txt	6
GCA_001800605.1_ASM180060v1_genomic_prot.fas_orthologs.txt	6
GCA_000999315.1_ASM99931v1_genomic_prot.fas_orthologs.txt	6
GCA_002413835.1_ASM241383v1_genomic_prot.fas_orthologs.txt	6
GCA_001001525.1_ASM100152v1_genomic_prot.fas_orthologs.txt	6
GCA_002840365.1_ASM284036v1_genomic_prot.fas_orthologs.txt	6
GCA_003482625.1_ASM348262v1_genomic_prot.fas_orthologs.txt	6
GCA_002781765.1_ASM278176v1_genomic_prot.fas_orthologs.txt	6
GCA_002404055.1_ASM240405v1_genomic_prot.fas_orthologs.txt	5
GCA_001803565.1_ASM180356v1_genomic_prot.fas_orthologs.txt	5
GCA_002316275.1_ASM231627v1_genomic_prot.fas_orthologs.txt	5
GCA_002780005.1_ASM278000v1_genomic_prot.fas_orthologs.txt	5
GCA_002779575.1_ASM277957v1_genomic_prot.fas_orthologs.txt	5
GCA_002343335.1_ASM234333v1_genomic_prot.fas_orthologs.txt	5
GCA_002478245.1_ASM247824v1_genomic_prot.fas_orthologs.txt	5
GCA_000403075.1_ASM40307v1_genomic_prot.fas_orthologs.txt	5
GCA_001800315.1_ASM180031v1_genomic_prot.fas_orthologs.txt	5
GCA_001513245.1_ASM151324v1_genomic_prot.fas_orthologs.txt	5
GCA_900079095.1_E.gemina.ts_genomic_prot.fas_orthologs.txt	5
GCA_001873295.1_ASM187329v1_genomic_prot.fas_orthologs.txt	5
GCA_003533805.1_ASM353380v1_genomic_prot.fas_orthologs.txt	5
GCA_001774505.1_ASM177450v1_genomic_prot.fas_orthologs.txt	5
GCA_001798515.1_ASM179851v1_genomic_prot.fas_orthologs.txt	5
GCA_002413145.1_ASM241314v1_genomic_prot.fas_orthologs.txt	5
GCA_001010485.1_ASM101048v1_genomic_prot.fas_orthologs.txt	5
GCA_002841685.1_ASM284168v1_genomic_prot.fas_orthologs.txt	5
GCA_002366725.1_ASM236672v1_genomic_prot.fas_orthologs.txt	5
GCA_002059205.1_ASM205920v1_genomic_prot.fas_orthologs.txt	5
GCA_002050035.1_ASM205003v1_genomic_prot.fas_orthologs.txt	5
GCA_002412545.1_ASM241254v1_genomic_prot.fas_orthologs.txt	5
GCA_001798655.1_ASM179865v1_genomic_prot.fas_orthologs.txt	5
GCA_001804415.1_ASM180441v1_genomic_prot.fas_orthologs.txt	5
GCA_001817065.1_ASM181706v1_genomic_prot.fas_orthologs.txt	5
GCA_002716355.1_ASM271635v1_genomic_prot.fas_orthologs.txt	5
GCA_002296285.1_ASM229628v1_genomic_prot.fas_orthologs.txt	5
GCA_001798805.1_ASM179880v1_genomic_prot.fas_orthologs.txt	5
GCA_002451015.1_ASM245101v1_genomic_prot.fas_orthologs.txt	5
GCA_001771695.1_ASM177169v1_genomic_prot.fas_orthologs.txt	5
GCA_000404785.1_ASM40478v1_genomic_prot.fas_orthologs.txt	5
GCA_003489165.1_ASM348916v1_genomic_prot.fas_orthologs.txt	5
GCA_001771215.1_ASM177121v1_genomic_prot.fas_orthologs.txt	5
GCA_002409445.1_ASM240944v1_genomic_prot.fas_orthologs.txt	5
GCA_001304035.1_ASM130403v1_genomic_prot.fas_orthologs.txt	5
GCA_001873285.1_ASM187328v1_genomic_prot.fas_orthologs.txt	5
GCA_000024265.1_ASM2426v1_genomic_prot.fas_orthologs.txt	4
GCA_003498085.1_ASM349808v1_genomic_prot.fas_orthologs.txt	4
GCA_000021565.1_ASM2156v1_genomic_prot.fas_orthologs.txt	4
GCA_001512905.1_ASM151290v1_genomic_prot.fas_orthologs.txt	4
GCA_000025905.1_ASM2590v1_genomic_prot.fas_orthologs.txt	4
GCA_001873755.1_ASM187375v1_genomic_prot.fas_orthologs.txt	4
GCA_001919895.1_ASM191989v1_genomic_prot.fas_orthologs.txt	4
GCA_001542995.1_ASM154299v1_genomic_prot.fas_orthologs.txt	4
GCA_002376045.1_ASM237604v1_genomic_prot.fas_orthologs.txt	4
GCA_000020465.1_ASM2046v1_genomic_prot.fas_orthologs.txt	4
GCA_000381545.1_ASM38154v1_genomic_prot.fas_orthologs.txt	4
GCA_002839375.1_ASM283937v1_genomic_prot.fas_orthologs.txt	4
GCA_001790715.1_ASM179071v1_genomic_prot.fas_orthologs.txt	4
GCA_002436065.1_ASM243606v1_genomic_prot.fas_orthologs.txt	4
GCA_001730085.1_AB1_pvc_genomic_prot.fas_orthologs.txt	4
GCA_000024805.1_ASM2480v1_genomic_prot.fas_orthologs.txt	4
GCA_000472905.1_ASM47290v1_genomic_prot.fas_orthologs.txt	4
GCA_001783265.1_ASM178326v1_genomic_prot.fas_orthologs.txt	4
GCA_002702065.1_ASM270206v1_genomic_prot.fas_orthologs.txt	4
GCA_000195295.1_ASM19529v1_genomic_prot.fas_orthologs.txt	4
GCA_001799195.1_ASM179919v1_genomic_prot.fas_orthologs.txt	4
GCA_000512235.1_ASM51223v1_genomic_prot.fas_orthologs.txt	4
GCA_003450055.1_ASM345005v1_genomic_prot.fas_orthologs.txt	4
GCA_001618625.1_ASM161862v1_genomic_prot.fas_orthologs.txt	4
GCA_003477045.1_ASM347704v1_genomic_prot.fas_orthologs.txt	4
GCA_001919375.1_ASM191937v1_genomic_prot.fas_orthologs.txt	4
GCA_002367385.1_ASM236738v1_genomic_prot.fas_orthologs.txt	4
GCA_002863065.1_ASM286306v1_genomic_prot.fas_orthologs.txt	4
GCA_002320775.1_ASM232077v1_genomic_prot.fas_orthologs.txt	4
GCA_002344365.1_ASM234436v1_genomic_prot.fas_orthologs.txt	4
GCA_000237085.1_ASM23708v1_genomic_prot.fas_orthologs.txt	4
GCA_000519205.1_ASM51920v1_genomic_prot.fas_orthologs.txt	4
GCA_001768645.1_ASM176864v1_genomic_prot.fas_orthologs.txt	4
GCA_001804715.1_ASM180471v1_genomic_prot.fas_orthologs.txt	4
GCA_002423385.1_ASM242338v1_genomic_prot.fas_orthologs.txt	4
GCA_002500605.1_ASM250060v1_genomic_prot.fas_orthologs.txt	4
GCA_000017805.1_ASM1780v1_genomic_prot.fas_orthologs.txt	4
GCA_002292025.1_ASM229202v1_genomic_prot.fas_orthologs.txt	4
GCA_000266945.1_ASM26694v1_genomic_prot.fas_orthologs.txt	4
GCA_001917905.1_ASM191790v1_genomic_prot.fas_orthologs.txt	4
GCA_002428325.1_ASM242832v1_genomic_prot.fas_orthologs.txt	4
GCA_002383495.1_ASM238349v1_genomic_prot.fas_orthologs.txt	4
GCA_000447245.1_RBG_1_genomic_prot.fas_orthologs.txt	4
GCA_001780165.1_ASM178016v1_genomic_prot.fas_orthologs.txt	4
GCA_002238965.1_ASM223896v1_genomic_prot.fas_orthologs.txt	4
GCA_001443485.1_ASM144348v1_genomic_prot.fas_orthologs.txt	4
GCA_002441125.1_ASM244112v1_genomic_prot.fas_orthologs.txt	4
GCA_002483445.1_ASM248344v1_genomic_prot.fas_orthologs.txt	4
GCA_002433485.1_ASM243348v1_genomic_prot.fas_orthologs.txt	4
GCA_001829415.1_ASM182941v1_genomic_prot.fas_orthologs.txt	4
GCA_002402325.1_ASM240232v1_genomic_prot.fas_orthologs.txt	4
GCA_001771235.1_ASM177123v1_genomic_prot.fas_orthologs.txt	4
GCA_002784985.1_ASM278498v1_genomic_prot.fas_orthologs.txt	4
GCA_003519375.1_ASM351937v1_genomic_prot.fas_orthologs.txt	4
GCA_002842095.1_ASM284209v1_genomic_prot.fas_orthologs.txt	4
GCA_000702505.1_ASM70250v1_genomic_prot.fas_orthologs.txt	4
GCA_002084765.1_ASM208476v1_genomic_prot.fas_orthologs.txt	4
GCA_002311855.1_ASM231185v1_genomic_prot.fas_orthologs.txt	4
GCA_001798085.1_ASM179808v1_genomic_prot.fas_orthologs.txt	4
GCA_002413265.1_ASM241326v1_genomic_prot.fas_orthologs.txt	4
GCA_001443005.1_ASM144300v1_genomic_prot.fas_orthologs.txt	4
GCA_000299235.1_ASM29923v1_genomic_prot.fas_orthologs.txt	4
GCA_001798595.1_ASM179859v1_genomic_prot.fas_orthologs.txt	4
GCA_002409965.1_ASM240996v1_genomic_prot.fas_orthologs.txt	4
GCA_002256485.1_ASM225648v1_genomic_prot.fas_orthologs.txt	4
GCA_001795345.1_ASM179534v1_genomic_prot.fas_orthologs.txt	4
GCA_001829375.1_ASM182937v1_genomic_prot.fas_orthologs.txt	4
GCA_001871795.1_ASM187179v1_genomic_prot.fas_orthologs.txt	4
GCA_002011425.1_ASM201142v1_genomic_prot.fas_orthologs.txt	4
GCA_000421485.1_ASM42148v1_genomic_prot.fas_orthologs.txt	4
GCA_002347855.1_ASM234785v1_genomic_prot.fas_orthologs.txt	4
GCA_001872685.1_ASM187268v1_genomic_prot.fas_orthologs.txt	4
