accession	scaffold_count	gc_count	longest_scaffold	gc_percentage	total_gap_length	genome_size	n50_contigs	n50_scaffolds	l50_scaffolds	contig_count	ambiguous_bases	longest_contig	l50_contigs	mean_scaffold_length	mean_contig_length	trna_aa_count	trna_selenocysteine_count	trna_count	checkm_completeness	checkm_contamination	protein_count	coding_bases	coding_density	ssu_count	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	lsu_5s_count	ncbi_taxonomy	gtdb_genome_representative	gtdb_representative	ncbi_taxonomy_unfiltered	ncbi_type_material	ncbi_biosample	ncbi_total_gap_length	ncbi_molecule_count	ncbi_date	ncbi_submitter	ncbi_ncrna_count	ncbi_scaffold_n50	ncbi_assembly_name	ncbi_scaffold_n75	ncbi_protein_count	ncbi_assembly_type	ncbi_rrna_count	ncbi_genbank_assembly_accession	ncbi_total_length	ncbi_unspanned_gaps	ncbi_taxid	ncbi_trna_count	ncbi_genome_representation	ncbi_spanned_gaps	ncbi_translation_table	ncbi_scaffold_n90	ncbi_contig_count	ncbi_organism_name	ncbi_contig_n50	ncbi_ungapped_length	ncbi_scaffold_l50	ncbi_ssu_count	ncbi_scaffold_count	ncbi_assembly_level	ncbi_refseq_category	ncbi_species_taxid	ncbi_isolate	ncbi_wgs_master	ncbi_bioproject	ncbi_seq_rel_date	ncbi_isolation_source	ncbi_country	ncbi_lat_lon	ncbi_strain_identifiers	ssu_gg_taxonomy	ssu_gg_blast_bitscore	ssu_gg_blast_subject_id	ssu_gg_blast_perc_identity	ssu_gg_blast_evalue	ssu_gg_blast_align_len	ssu_gg_query_id	ssu_gg_length	ssu_silva_blast_bitscore	ssu_silva_taxonomy	ssu_silva_blast_subject_id	ssu_silva_blast_align_len	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	lsu_5s_query_id	lsu_5s_length	lsu_5s_contig_len	gtdb_taxonomy	mimag_high_quality	gtdb_cluster_size	gtdb_clustered_genomes	gtdb_type_material
RS_GCF_000246985.2	1	954455	2215172	43.0880292245	44	2215172	2215128	2215172	1	1	0	2215128	1	2215172	2215128	20	0	45	99.5	0.5	2497	2014456	90.9390331767	1	299	p__Euryarchaeota (UID4)	202	0	2	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus litoralis	RS_GCF_000246985.2	t	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus litoralis;st__Thermococcus litoralis DSM 5473	t	SAMN02603679	0	1	2013-8-13	New England Biolabs, Inc.	0	none	ASM24698v3	none	2402	n/a	4	GCA_000246985.3	2215172	0	523849	45	full	0	11	none	none	Thermococcus litoralis DSM 5473	none	2215172	none	1	none	Complete Genome	representative genome	2265	none	none	PRJNA224116	2013/08/13	none	none	none	DSM 5473	k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__alcaliphilus	2739	4188623	100	0	1483	NC_022084.1	1484	2741	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus litoralis DSM 5473	CP006670.774259.775759	1484	0	100	NC_022084.1	102	2215172	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus_A;s__Thermococcus_A litoralis	t	1	RS_GCF_000246985.2	t
RS_GCF_000980135.1	159	1694808	130619	41.5708854081	656	4077567	37490	46703	28	193	0	130619	32	25645	21123	20	0	56	100	0.65	3513	3081035	75.5606223025	1	228	p__Euryarchaeota (UID49)	153	0	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	RS_GCF_000970205.1	f	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	f	SAMN02708973	652	0	2015-4-23	University of Illinois at Urbana-Champaign	0	none	gtlEnvA5udCFS	none	3462	n/a	3	GCA_000980135.1	4077567	0	2209	56	full	34	11	none	193	Methanosarcina mazei	37490	4076915	none	1	none	Scaffold	na	2209	none	JJQZ00000000.1	PRJNA224116	2015/04/23	sediment	USA: Columbia River Estuary; north of Astoria; OR	46.17467 N 123.8493 W	1.H.T.2.1	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	2710	439	99.864	0	1473	NZ_JJQZ01000122.1	1474	2721	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	AE008384.2400692.2402165	1473	0	100	NZ_JJQZ01000122.1	116	72964	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	t	none	none	f
RS_GCF_000504205.1	1	1254128	3151883	39.7898523389	4	3151883	3151879	3151883	1	1	0	3151879	1	3151883	3151879	20	0	50	99.67	0	2955	2759503	87.5509338386	3	228	p__Euryarchaeota (UID49)	153	0	3	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus tindarius	RS_GCF_000504205.1	t	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus tindarius;st__Methanolobus tindarius DSM 2278	t	SAMN02597164	0	0	2013-12-5	JGI	0	none	ASM50420v1	none	2909	n/a	9	GCA_000504205.1	3151883	0	1090322	50	full	0	11	none	1	Methanolobus tindarius DSM 2278	3151883	3151883	none	3	none	Contig	representative genome	2221	none	AZAJ00000000.1	PRJNA224116	2013/12/05	not provided; submitted under MIGS 2.1	Italy	38.132591 N 15.05422 E	DSM 2278	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__	2566	826110	98.228	0	1467	NZ_AZAJ01000001.1	1473	2697	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;Methanolobus tindarius DSM 2278	AZAJ01000001.1825998.1827463	1466	0	99.864	NZ_AZAJ01000001.1	117	3151883	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus tindarius	t	1	RS_GCF_000504205.1	t
RS_GCF_000812185.1	1	408546	1232128	33.157756337	0	1232128	1232128	1232128	1	1	0	1232128	1	1232128	1232128	19	0	40	99.51	0	1470	1156354	93.8501519323	1	145	k__Archaea (UID2)	103	0	1	d__Archaea;p__Thaumarchaeota;c__;o__;f__;g__Candidatus Nitrosopelagicus;s__Candidatus Nitrosopelagicus brevis	RS_GCF_000812185.1	t	d__Archaea;x__TACK group;p__Thaumarchaeota;x__unclassified Thaumarchaeota;g__Candidatus Nitrosopelagicus;s__Candidatus Nitrosopelagicus brevis	f	SAMN03273964	0	1	2014-12-31	J. Craig Venter Institute	0	none	ASM81218v1	none	1421	n/a	3	GCA_000812185.1	1232128	0	1410606	41	full	0	11	none	none	Candidatus Nitrosopelagicus brevis	none	1232128	none	1	none	Complete Genome	na	1410606	none	none	PRJNA224116	2014/12/31	none	none	none	CN25	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__;s__	2617	46043	98.842	0	1468	NZ_CP007026.1	1469	2713	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosopelagicus;Candidatus Nitrosopelagicus brevis	CP007026.477690.479162	1469	0	100	NZ_CP007026.1	112	1232128	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus brevis	t	1	RS_GCF_000812185.1	f
RS_GCF_000006175.1	1	553702	1936387	28.5945939526	0	1936387	1936387	1936387	1	1	0	1936387	1	1936387	1936387	20	1	39	99.05	0	1727	1551348	80.1155967273	2	308	p__Euryarchaeota (UID5)	210	0	2	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae	RS_GCF_000006175.1	t	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae;st__Methanococcus voltae A3	f	SAMN00000040	0	1	2010-6-3	US DOE Joint Genome Institute (JGI-PGF)	0	none	ASM617v2	none	1693	n/a	7	GCA_000006175.2	1936387	0	456320	39	full	0	11	none	none	Methanococcus voltae A3	none	1936387	none	2	none	Complete Genome	representative genome	2188	none	none	PRJNA224116	2010/06/03	none	none	none	A3	k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__	2706	240377	100	0	1465	NC_014222.1-#2	1466	2706	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus voltae A3	CP002057.1534651.1536117	1465	0	100	NC_014222.1-#2	480	1936387	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae	t	1	RS_GCF_000006175.1	f
RS_GCF_000337075.1	64	2099820	180409	69.1305365549	61	3037532	87029	87029	12	64	0	180403	12	47461	47460	20	0	49	99.38	0.19	3008	2629910	86.5804870533	1	417	f__Halobacteriaceae (UID96)	263	0	1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum hochstenium	RS_GCF_000337075.1	t	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum hochstenium;st__Halorubrum hochstenium ATCC 700873	f	SAMN02471650	0	0	2013-2-4	University of California, Davis	0	none	ASM33707v1	none	2950	n/a	10	GCA_000337075.1	3037532	0	1227481	48	full	0	11	none	64	Halorubrum hochstenium ATCC 700873	87029	3037532	none	2	none	Contig	na	1227480	none	AOJO00000000.1	PRJNA224116	2013/02/04	none	none	none	ATCC 700873	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum;s__	1666	4320043	98.927	0	932	NZ_AOJO01000055.1	1738	3016	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum;Halorubrum hochstenium ATCC 700873	AOJO01000055.1063.2699	1637	0	100	NZ_AOJO01000028.1	115	15773	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum hochstenium	f	1	RS_GCF_000337075.1	f
RS_GCF_000306725.1	1	1370789	3072769	44.610870521	0	3072769	3072769	3072769	1	1	0	3072769	1	3072769	3072769	20	0	52	99.84	0	3004	2638662	85.8724492469	3	228	p__Euryarchaeota (UID49)	153	0	4	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus	RS_GCF_000306725.1	t	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus;st__Methanolobus psychrophilus R15	t	SAMN00739943	0	1	2012-10-18	Beijing Institute of Genomics	0	none	ASM30672v1	none	2910	n/a	10	GCA_000306725.1	3072769	0	1094980	52	full	0	11	none	none	Methanolobus psychrophilus R15	none	3072769	none	3	none	Complete Genome	representative genome	420950	none	none	PRJNA224116	2012/10/18	none	none	none	R15	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__	2719	4308625	100	0	1472	NC_018876.1-#3	1473	2719	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;Methanolobus psychrophilus R15	CP003083.1778722.1780195	1472	0	100	NC_018876.1-#3	117	3072769	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus_A;s__Methanolobus_A psychrophilus	t	1	RS_GCF_000306725.1	t
RS_GCF_000979515.1	209	1696947	123524	41.6328588462	127	4076107	35291	35291	37	215	0	123524	38	19502	18958	20	0	58	100	1.31	3557	3083899	75.657950098	1	228	p__Euryarchaeota (UID49)	153	50	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	RS_GCF_000970205.1	f	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	f	SAMN02708975	126	0	2015-4-23	University of Illinois at Urbana-Champaign	0	none	gtlEnvA5udCFS	none	3471	n/a	3	GCA_000979515.1	4076107	0	2209	57	full	6	11	none	215	Methanosarcina mazei	35291	4075981	none	1	none	Scaffold	na	2209	none	JJPD00000000.1	PRJNA224116	2015/04/23	sediment	USA: Columbia River Estuary; north of Astoria; OR	46.1597 N 123.8065 W	3.F.A.2.12	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	2699	439	99.728	0	1473	NZ_JJPD01000038.1	1474	2710	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	AE008384.2400692.2402165	1473	0	99.864	NZ_JJPD01000038.1	116	42213	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	t	none	none	f
RS_GCF_000336815.1	58	2626728	543135	65.6897790924	113	3998799	256886	256889	5	58	0	543127	5	68944	68942	20	0	55	99.06	0.13	3991	3457307	86.4586342049	4	417	f__Halobacteriaceae (UID96)	263	0	1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax prahovense	RS_GCF_000336815.1	t	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax prahovense;st__Haloferax prahovense DSM 18310	t	SAMN02471666	0	0	2013-2-4	University of California, Davis	0	none	ASM33681v1	none	3896	n/a	7	GCA_000336815.1	3998799	0	1227461	52	full	0	11	none	58	Haloferax prahovense DSM 18310	256889	3998799	none	4	none	Contig	na	381852	none	AOLG00000000.1	PRJNA224116	2013/02/04	none	none	none	DSM 18310	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloferax;s__	1764	651042	99.383	0	973	NZ_AOLG01000044.1	974	1792	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax;Haloferax prahovense	AB663381.1.1473	973	0	99.897	NZ_AOLG01000054.1	114	307700	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax prahovense	f	1	RS_GCF_000336815.1	t
RS_GCF_000337635.1	134	2734449	253823	64.1246233531	182	4264455	83436	83437	17	134	0	253821	17	31824	31822	19	0	46	99.76	0	4336	3597713	84.3651298935	3	417	f__Halobacteriaceae (UID96)	263	0	1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrinema;s__Natrinema pellirubrum	RS_GCF_000337635.1	t	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrinema;s__Natrinema pellirubrum;st__Natrinema pellirubrum DSM 15624	t	SAMN02471626	0	0	2013-2-4	University of California, Davis	0	none	ASM33763v1	none	4219	n/a	6	GCA_000337635.1	4264455	0	797303	46	full	0	11	none	134	Natrinema pellirubrum DSM 15624	83437	4264455	none	3	none	Contig	na	69525	none	AOIE00000000.1	PRJNA224116	2013/02/04	none	none	none	DSM 15624	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloterrigena;s__thermotolerans	2597	4448464	98.707	0	1470	NZ_AOIE01000102.1	1455	2663	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloterrigena;Natrinema pellirubrum DSM 15624	AOIE01000102.23.1466	1444	0	100	NZ_AOIE01000101.1	209	123049	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Natrinema;s__Natrinema pellirubrum	t	1	RS_GCF_000337635.1	t
